cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737225.584155093,737225.58068287,737225.577210648,737225.573738426,737225.5702662041,737225.5667939809,737225.5633217591,737225.559849537,737225.556377315,737225.552905093,737225.54943287,737225.545960648,737225.542488426,737225.5390162041,737225.5355439809,737225.5320717591,737225.528599537,737225.525127315,737225.521655093,737225.51818287,737225.514710648,737225.511238426,737225.5077662041,737225.5042939809,737225.5008217591,737225.497349537,737225.493877315,737225.490405093,737225.48693287,737225.483460648,737225.479988426
737217.627777778,737217.624305556,737217.620833333,737217.617361111,737217.6138888891,737217.6104166671,737217.606944444,737217.603472222,737217.6,737217.596527778,737217.593055556,737217.589583333,737217.586111111,737217.5826388891,737217.5791666671,737217.575694444,737217.572222222,737217.56875,737217.565277778,737217.561805556,737217.558333333,737217.554861111,737217.5513888891,737217.5479166671,737217.544444444,737217.540972222,737217.5375,737217.534027778,737217.530555556,737217.527083333,737217.523611111
737216.5513194441,737216.5478472221,737216.544375,737216.5409027779,737216.5374305559,737216.533958333,737216.530486111,737216.527013889,737216.523541667,737216.5200694441,737216.5165972221,737216.513125,737216.5096527779,737216.5061805559,737216.502708333,737216.499236111,737216.495763889,737216.492291667,737216.4888194441,737216.4853472221,737216.481875,737216.4784027779,737216.4749305559,737216.471458333,737216.467986111,737216.464513889,737216.461041667,737216.4575694441,737216.4540972221,737216.450625,737216.4471527779
737215.572094907,737215.568622685,737215.565150463,737215.5616782409,737215.5582060191,737215.5547337959,737215.551261574,737215.547789352,737215.54431713,737215.540844907,737215.537372685,737215.533900463,737215.5304282409,737215.5269560191,737215.5234837959,737215.520011574,737215.516539352,737215.51306713,737215.509594907,737215.506122685,737215.502650463,737215.4991782409,737215.4957060191,737215.4922337959,737215.488761574,737215.485289352,737215.48181713,737215.478344907,737215.474872685,737215.471400463,737215.4679282409
737201.589409722,737201.5859375,737201.582465278,737201.578993056,737201.575520833,737201.5720486109,737201.5685763891,737201.565104167,737201.561631945,737201.558159722,737201.5546875,737201.551215278,737201.547743056,737201.544270833,737201.5407986109,737201.5373263891,737201.533854167,737201.530381945,737201.526909722,737201.5234375,737201.519965278,737201.516493056,737201.513020833,737201.5095486109,737201.5060763891,737201.502604167,737201.499131945,737201.495659722,737201.4921875,737201.488715278,737201.485243056
737196.607430556,737196.6039583329,737196.6004861109,737196.5970138891,737196.593541667,737196.5900462959,737196.5865740741,737196.583101852,737196.57962963,737196.576157407,737196.572685185,737196.569212963,737196.565740741,737196.5622685179,737196.5587962959,737196.5553240741,737196.551851852,737196.54837963,737196.544907407,737196.541435185,737196.537962963,737196.534490741,737196.5310185179,737196.5275462959,737196.5240740741,737196.520601852,737196.51712963,737196.513657407,737196.510185185,737196.506712963,737196.503240741
737140.5861689821,737140.582696759,737140.579224537,737140.575752315,737140.572280093,737140.56880787,737140.565335648,737140.5618634259,737140.5583912041,737140.5549189821,737140.551446759,737140.547974537,737140.544502315,737140.541030093,737140.53755787,737140.534085648,737140.5306134259,737140.5271412041,737140.5236689821,737140.520196759,737140.516724537,737140.513252315,737140.509780093,737140.50630787,737140.502835648,737140.4993634259,737140.4958912041,737140.492407407,737140.488935185,737140.485462963,737140.481990741
737120.57224537,737120.568773148,737120.565300926,737120.5618287041,737120.5583564809,737120.554884259,737120.551412037,737120.547939815,737120.544467593,737120.54099537,737120.537523148,737120.534050926,737120.5305787041,737120.5271064809,737120.523634259,737120.520162037,737120.516689815,737120.513217593,737120.50974537,737120.506273148,737120.502800926,737120.4993287041,737120.4958564809,737120.492384259,737120.488912037,737120.485439815,737120.481967593,737120.47849537,737120.475023148,737120.471550926,737120.4680787041
737117.572071759,737117.568599537,737117.565127315,737117.561655093,737117.55818287,737117.554710648,737117.5512384259,737117.5477662041,737117.544293982,737117.540821759,737117.537349537,737117.533877315,737117.530405093,737117.52693287,737117.523460648,737117.5199884259,737117.5165162041,737117.513043982,737117.509571759,737117.506099537,737117.502627315,737117.499155093,737117.49568287,737117.492210648,737117.4887384259,737117.4852662041,737117.481793982,737117.478321759,737117.474849537,737117.471377315,737117.467905093
737112.5762037041,737112.572731482,737112.569259259,737112.565787037,737112.562314815,737112.558842593,737112.55537037,737112.5518981479,737112.5484259259,737112.5449537041,737112.541481482,737112.538009259,737112.534537037,737112.531064815,737112.527592593,737112.52412037,737112.520613426,737112.5171412041,737112.5136689821,737112.510196759,737112.506724537,737112.503252315,737112.499780093,737112.49630787,737112.492835648,737112.489363426,737112.4858912041,737112.4824189821,737112.478946759,737112.475474537,737112.472002315
737107.631967593,737107.62849537,737107.625023148,737107.6215509259,737107.6180787041,737107.614606482,737107.611134259,737107.607662037,737107.604189815,737107.600717593,737107.59724537,737107.593773148,737107.5903009259,737107.5868287041,737107.583356482,737107.579884259,737107.576412037,737107.572939815,737107.569467593,737107.56599537,737107.562523148,737107.5590509259,737107.5555787041,737107.552106482,737107.548634259,737107.545162037,737107.541689815,737107.538217593,737107.53474537,737107.531273148,737107.5278009259
737106.565925926,737106.5624537041,737106.5589814809,737106.5555092591,737106.552037037,737106.548564815,737106.545092593,737106.54162037,737106.538148148,737106.534675926,737106.5312037041,737106.5277314809,737106.5242592591,737106.520787037,737106.517314815,737106.513842593,737106.51037037,737106.506898148,737106.503425926,737106.4999537041,737106.4964814809,737106.4930092591,737106.489537037,737106.486064815,737106.482592593,737106.47912037,737106.475648148,737106.472175926,737106.4687037041,737106.4652314809,737106.4617592591
737103.597002315,737103.593530093,737103.59005787,737103.586585648,737103.583113426,737103.5796412041,737103.5761689821,737103.572696759,737103.569224537,737103.565752315,737103.562280093,737103.55880787,737103.555335648,737103.551863426,737103.5483912041,737103.5449189821,737103.541446759,737103.537974537,737103.534502315,737103.531030093,737103.52755787,737103.524085648,737103.520613426,737103.5171412041,737103.5136689821,737103.510196759,737103.506724537,737103.503252315,737103.4997685179,737103.4962962959,737103.4928240741
737097.581585648,737097.578113426,737097.5746412041,737097.5711689809,737097.567696759,737097.564224537,737097.560752315,737097.557280093,737097.55380787,737097.550335648,737097.546863426,737097.5433912041,737097.5399189809,737097.536446759,737097.532974537,737097.529502315,737097.526030093,737097.52255787,737097.519085648,737097.515613426,737097.5121412041,737097.508680556,737097.505208333,737097.5017361109,737097.4982638891,737097.494791667,737097.491319445,737097.487847222,737097.484375,737097.480902778,737097.477430556
737058.589444444,737058.585972222,737058.5825,737058.579027778,737058.575555556,737058.5720833329,737058.5686111109,737058.565138889,737058.561666667,737058.558194444,737058.554722222,737058.55125,737058.547777778,737058.544305556,737058.5408333329,737058.5373611109,737058.533888889,737058.530416667,737058.526944444,737058.523472222,737058.52,737058.516527778,737058.513055556,737058.5095833329,737058.5061111109,737058.502638889,737058.499166667,737058.495694444,737058.492222222,737058.48875,737058.485277778
737056.594328704,737056.590856481,737056.5873842591,737056.5839120371,737056.580439815,737056.5769675929,737056.57349537,737056.570023148,737056.566550926,737056.563078704,737056.559606481,737056.5561342591,737056.5526620371,737056.549189815,737056.5457175929,737056.54224537,737056.538773148,737056.535300926,737056.531828704,737056.528356481,737056.5248842591,737056.5214120371,737056.517939815,737056.5144675929,737056.51099537,737056.507523148,737056.504050926,737056.500578704,737056.497106481,737056.4936342591,737056.4901620371
737055.6081597221,737055.6046875,737055.6012152779,737055.5977430559,737055.594270833,737055.5907986109,737055.587326389,737055.583854167,737055.5803819441,737055.5769097221,737055.5734375,737055.5699652779,737055.5664930559,737055.563020833,737055.5595486109,737055.556076389,737055.552604167,737055.5491319441,737055.5456597221,737055.5421875,737055.5387152779,737055.5352430559,737055.531770833,737055.5282986109,737055.524826389,737055.521354167,737055.5178819441,737055.5144097221,737055.5109375,737055.5074652779,737055.5039930559
737053.708298611,737053.7048263891,737053.7013541671,737053.697881944,737053.694409722,737053.6909375,737053.687465278,737053.683993056,737053.680520833,737053.677048611,737053.6735763891,737053.6701041671,737053.666631944,737053.663159722,737053.6596875,737053.656215278,737053.652743056,737053.649270833,737053.645798611,737053.6423263891,737053.6388541671,737053.635381944,737053.631909722,737053.6284375,737053.624965278,737053.621493056,737053.618020833,737053.614548611,737053.6110763891,737053.6076041671,737053.604131945
737052.617939815,737052.614467593,737052.61099537,737052.607523148,737052.6040509259,737052.600578704,737052.597106481,737052.5936342591,737052.590162037,737052.586689815,737052.583217593,737052.57974537,737052.576273148,737052.5728009259,737052.569328704,737052.565856481,737052.5623842591,737052.558912037,737052.555439815,737052.551967593,737052.54849537,737052.545023148,737052.5415509259,737052.538078704,737052.534606481,737052.5311342591,737052.527662037,737052.524189815,737052.520717593,737052.51724537,737052.513773148
737048.589918982,737048.586446759,737048.582974537,737048.579502315,737048.576030093,737048.57255787,737048.5690856479,737048.5656134259,737048.562141204,737048.558668982,737048.555196759,737048.551724537,737048.548252315,737048.544780093,737048.54130787,737048.5378356479,737048.5343634259,737048.530891204,737048.527418982,737048.523946759,737048.520474537,737048.517002315,737048.513530093,737048.51005787,737048.5065856479,737048.5031134259,737048.499641204,737048.496168982,737048.492696759,737048.489224537,737048.485752315
737047.583368056,737047.5798958329,737047.5764236109,737047.572951389,737047.569479167,737047.566006944,737047.562534722,737047.5590625,737047.555590278,737047.552118056,737047.5486458329,737047.5451736109,737047.541701389,737047.538229167,737047.534756944,737047.531273148,737047.5278009259,737047.5243287041,737047.520856482,737047.517384259,737047.513912037,737047.510439815,737047.506967593,737047.50349537,737047.500023148,737047.4965509259,737047.4930787041,737047.489606482,737047.486134259,737047.482662037,737047.479189815
737044.597083333,737044.5936111109,737044.590138889,737044.586666667,737044.5831944441,737044.579722222,737044.57625,737044.572777778,737044.5693055559,737044.565810185,737044.562337963,737044.5588657409,737044.5553935191,737044.5519212959,737044.548449074,737044.544976852,737044.54150463,737044.538032407,737044.534560185,737044.531087963,737044.5276157409,737044.5241435191,737044.5206712959,737044.517199074,737044.513726852,737044.51025463,737044.506782407,737044.503310185,737044.499837963,737044.4963657409,737044.4928935191
737042.586527778,737042.5830555559,737042.579583333,737042.576111111,737042.5726388891,737042.5691666671,737042.5656944441,737042.562222222,737042.55875,737042.555277778,737042.5518055559,737042.548333333,737042.544861111,737042.5413888891,737042.5379166671,737042.5344444441,737042.530972222,737042.5275,737042.524027778,737042.5205555559,737042.517083333,737042.513611111,737042.5101388891,737042.5066666671,737042.5031944441,737042.499722222,737042.49625,737042.492777778,737042.4893055559,737042.485833333,737042.482361111
737041.6663194441,737041.6628472221,737041.659375,737041.6559027779,737041.6524305559,737041.648958333,737041.6454861109,737041.642013889,737041.638541667,737041.6350694441,737041.6315972221,737041.628125,737041.6246527779,737041.6211805559,737041.617708333,737041.6142361109,737041.610763889,737041.607291667,737041.6038194441,737041.6003472221,737041.596875,737041.5934027779,737041.5899305559,737041.586458333,737041.5829861109,737041.579513889,737041.576041667,737041.5725694441,737041.5690972221,737041.565625,737041.5621527779
737026.586747685,737026.583275463,737026.579803241,737026.576331018,737026.572858796,737026.5693865741,737026.5659143521,737026.56244213,737026.558969907,737026.555497685,737026.552025463,737026.548553241,737026.545081018,737026.541608796,737026.5381365741,737026.5346643521,737026.53119213,737026.527719907,737026.524247685,737026.520775463,737026.517303241,737026.513831018,737026.510358796,737026.5068865741,737026.5034143521,737026.49994213,737026.496469907,737026.492997685,737026.489525463,737026.486053241,737026.4825810189
737021.589918982,737021.586446759,737021.582974537,737021.579502315,737021.576030093,737021.57255787,737021.5690856479,737021.5656134259,737021.562141204,737021.558668982,737021.555196759,737021.551724537,737021.548252315,737021.544780093,737021.54130787,737021.5378356479,737021.5343634259,737021.530891204,737021.527418982,737021.523946759,737021.520474537,737021.517002315,737021.513530093,737021.51005787,737021.5065856479,737021.5031134259,737021.499641204,737021.496168982,737021.492696759,737021.489224537,737021.485752315
737019.606944444,737019.603472222,737019.6,737019.596527778,737019.593055556,737019.589583333,737019.586111111,737019.5826388891,737019.5791666671,737019.575694444,737019.572222222,737019.56875,737019.565277778,737019.561805556,737019.558333333,737019.554861111,737019.5513888891,737019.5479166671,737019.544444444,737019.540972222,737019.5375,737019.534027778,737019.530555556,737019.527083333,737019.523611111,737019.5201388891,737019.5166666671,737019.513194444,737019.509722222,737019.50625,737019.502777778
737016.610243056,737016.606770833,737016.6032986109,737016.5998263891,737016.596354167,737016.592881945,737016.589409722,737016.5859375,737016.582465278,737016.578993056,737016.575520833,737016.5720486109,737016.5685763891,737016.565104167,737016.561631945,737016.558159722,737016.5546875,737016.551215278,737016.547743056,737016.544270833,737016.5407986109,737016.5373263891,737016.533854167,737016.530381945,737016.526909722,737016.5234375,737016.519965278,737016.516493056,737016.513020833,737016.5095486109,737016.5060763891
